caldt,b30ret,b30ind,b20ret,b20ind,b10ret,b10ind,b7ret,b7ind,b5ret,b5ind,b2ret,b2ind,b1ret,b1ind,t90ret,t90ind,t30ret,t30ind,cpiret,cpiind
1961-01-31,-0.012612,68.503030,-0.011041,71.240790,-0.008035,65.360080,-0.005221,59.420040,-0.005943,58.515860,-0.003329,57.500800,0.000647,55.992650,0.002047,58.033690,0.001940,60.950690,0.000000,70.1
1961-02-28,0.024233,70.163070,0.018527,72.560650,0.016318,66.426610,0.007883,59.888440,0.009028,59.044140,0.003260,57.688290,0.001157,56.057440,0.001382,58.113920,0.001649,61.051200,0.000000,70.1
1961-03-30,-0.000238,70.146380,0.001687,72.683090,-0.006057,66.024260,0.002529,60.039910,0.003650,59.259640,0.004403,57.942260,0.003278,56.241200,0.002794,58.276300,0.002012,61.174040,0.000000,70.1
1961-04-28,0.015599,71.240580,0.011845,73.544010,0.012877,66.874470,0.006687,60.441390,0.005362,59.577410,0.001285,58.016720,0.002817,56.399620,0.002444,58.418710,0.001746,61.280850,0.000000,70.1
1961-05-31,0.009878,71.944320,0.003204,73.779660,-0.000990,66.808280,-0.004477,60.170770,-0.002770,59.412370,-0.000731,57.974330,0.002604,56.546480,0.002036,58.537640,0.001774,61.389570,0.000000,70.1
1961-06-30,-0.028078,69.924240,-0.021593,72.186510,-0.013138,65.930550,-0.000586,60.135530,-0.001919,59.298370,0.001143,58.040570,0.002019,56.660670,0.002213,58.667200,0.002008,61.512840,0.000000,70.1
1961-07-31,-0.000136,69.914740,0.001134,72.268390,0.000973,65.994670,-0.006997,59.714780,0.001979,59.415700,0.004986,58.329970,0.003647,56.867300,0.002187,58.795510,0.001824,61.625020,0.006711,70.6
1961-08-31,-0.017489,68.692000,-0.008757,71.635540,-0.000447,65.965170,0.003576,59.928290,0.001953,59.531740,0.000561,58.362710,0.004213,57.106880,0.001862,58.904960,0.001358,61.708710,-0.003333,70.4
1961-09-29,0.003742,68.949030,0.008256,72.226960,0.009356,66.582380,0.013626,60.744900,0.008547,60.040580,0.003581,58.571710,0.003112,57.284580,0.002225,59.036060,0.001677,61.812220,0.003344,70.6
1961-10-31,0.005420,69.322750,0.005851,72.649540,0.001096,66.655330,0.004540,61.020680,0.002936,60.216850,0.004641,58.843510,0.003803,57.502450,0.002163,59.163730,0.001921,61.930930,0.000000,70.6
1961-11-30,-0.001668,69.207120,-0.001572,72.535330,-0.009041,66.052680,-0.002387,60.875030,-0.001584,60.121450,0.002618,58.997580,0.002091,57.622690,0.001625,59.259880,0.001607,62.030470,0.000000,70.6
1961-12-29,-0.005206,68.846830,-0.005028,72.170640,-0.002730,65.872390,0.003103,61.063930,-0.000429,60.095680,0.002575,59.149520,0.002358,57.758560,0.001943,59.375020,0.001864,62.146070,0.000000,70.6
1962-01-31,0.004844,69.180330,-0.001602,72.055010,0.001548,65.974330,-0.002708,60.898550,-0.004230,59.841450,0.002375,59.289980,0.002593,57.908330,0.002496,59.523210,0.002348,62.291990,0.000000,70.6
1962-02-28,0.003634,69.431730,0.007828,72.619090,0.019150,67.237730,0.019150,62.064740,0.014862,60.730830,0.007898,59.758250,0.003719,58.123690,0.002243,59.656740,0.001989,62.415880,0.003333,70.8
1962-03-30,0.026249,71.254250,0.017130,73.863020,0.019280,68.534110,0.019280,63.261360,0.009232,61.291470,0.005945,60.113530,0.004756,58.400120,0.002244,59.790590,0.002007,62.541130,0.000000,70.8
1962-04-30,0.016849,72.454820,0.019020,75.267920,0.016427,69.659930,0.003993,63.513950,0.002451,61.441710,0.001495,60.203380,0.001814,58.506070,0.002475,59.938580,0.002278,62.683630,0.003322,71.1
1962-05-31,-0.004814,72.105990,0.010481,76.056810,-0.005968,69.244190,0.000295,63.532700,0.004884,61.741800,0.005330,60.524250,0.002086,58.628110,0.002465,60.086320,0.002296,62.827520,0.000000,71.1
1962-06-29,-0.011760,71.258020,-0.008836,75.384740,-0.003513,69.000910,-0.004216,63.264840,-0.002766,61.571010,-0.000915,60.468890,0.000995,58.686440,0.001831,60.196330,0.001937,62.949230,0.000000,71.1
1962-07-31,-0.008187,70.674630,-0.010694,74.578600,0.002452,69.170110,0.001637,63.368420,-0.000599,61.534120,0.002424,60.615450,0.002203,58.815730,0.002863,60.368670,0.002727,63.120900,0.003311,71.3
1962-08-31,0.031939,72.931940,0.023312,76.317150,0.010808,69.917680,0.009801,63.989500,0.012146,62.281550,0.008487,61.129900,0.003666,59.031360,0.002702,60.531810,0.002180,63.258490,0.000000,71.3
1962-09-28,0.015465,74.059820,0.004065,76.627400,0.005612,70.310070,0.005488,64.340660,0.002422,62.432360,0.004876,61.427960,0.003582,59.242810,0.002315,60.671930,0.002072,63.389580,0.003300,71.5
1962-10-31,0.012171,74.961230,0.012685,77.599420,0.005444,70.692870,0.005070,64.666880,0.004447,62.710020,0.002963,61.609990,0.003909,59.474380,0.002966,60.851900,0.002533,63.550130,0.000000,71.5
1962-11-30,0.003414,75.217110,0.000184,77.613710,0.004472,71.008970,0.003823,64.914100,0.006312,63.105850,0.000539,61.643210,0.001746,59.578220,0.002062,60.977380,0.002021,63.678540,0.000000,71.5
1962-12-31,-0.005510,74.802670,0.002358,77.796690,0.009185,71.661220,0.009427,65.526050,0.005266,63.438150,0.002529,61.799100,0.002196,59.709060,0.002364,61.121500,0.002519,63.838930,0.000000,71.5
1963-01-31,-0.000666,74.752860,0.003716,78.085800,0.003295,71.897320,0.001148,65.601260,-0.002873,63.255900,0.005349,62.129660,0.002809,59.876760,0.002582,61.279340,0.002512,63.999320,0.000000,71.5
1963-02-28,0.001868,74.892510,0.000694,78.140000,-0.002189,71.739950,-0.002178,65.458390,0.001717,63.364490,0.001695,62.234970,0.002577,60.031080,0.002367,61.424370,0.002260,64.143950,0.000000,71.5
1963-03-29,-0.002231,74.725410,0.003504,78.413780,0.002561,71.923670,0.003486,65.686570,0.002739,63.538040,0.002436,62.386550,0.002439,60.177500,0.002381,61.570620,0.002262,64.289050,0.003289,71.8
1963-04-30,-0.001954,74.579420,-0.003653,78.127330,-0.000710,71.872610,0.003801,65.936250,0.003351,63.750970,0.001520,62.481380,0.002847,60.348830,0.002710,61.737480,0.002661,64.460100,0.000000,71.8
