ticker,caldt,crsp_fundno,mtna,mret,mnav
MGLAX,1995-08-31,001434,12.088,-0.008818,11.2400000
MGLAX,1995-05-31,001434,11.427,0.020115,10.6500000
MGLAX,1995-10-31,001434,11.796,-0.034513,10.9100000
MGLAX,1995-09-29,001434,12.097,0.005338,11.3000000
MGLAX,1995-04-28,001434,11.206,0.040877,10.4400000
MGLAX,1995-11-30,001434,11.637,0.005500,10.9700000
MGLAX,1995-07-31,001434,12.172,0.055866,11.3400000
MGLAX,1995-02-28,001434,10.450,-0.015968,9.8600000
MGLAX,1995-01-31,001434,10.606,R,10.0200000
MGLAX,1995-06-30,001434,11.465,0.008451,10.7400000
MGLAX,1995-03-31,001434,10.600,0.017241,10.0300000
AHLAX,2008-10-31,004149,,-0.133885,10.3300000
AHLAX,2007-05-31,004149,51.700,0.009204,15.3500000
AHLAX,2006-07-31,004149,49.100,0.043445,13.6900000
AHLAX,2005-10-31,004149,47.700,-0.014405,13.0000000
AHLAX,2008-01-31,004149,55.700,-0.053476,14.1600000
AHLAX,2008-09-30,004149,49.600,-0.063103,12.6200000
AHLAX,2007-03-30,004149,50.500,0.019014,14.4700000
AHLAX,2007-06-29,004149,47.600,-0.041042,14.7200000
AHLAX,2008-04-30,004149,53.500,-0.006849,13.0500000
AHLAX,2006-09-29,004149,54.100,-0.004264,14.0100000
AHLAX,2006-11-30,004149,50.400,-0.015021,13.7700000
AHLAX,2006-10-31,004149,51.800,-0.002141,13.9800000
AHLAX,2006-05-31,004149,46.600,-0.015813,13.0700000
AHLAX,2008-02-29,004149,55.900,-0.014831,13.9500000
AHLAX,2005-08-31,004149,49.100,0.024200,13.1200000
AHLAX,2006-06-30,004149,46.100,0.003826,13.1200000
AHLAX,2005-07-29,004149,47.500,0.033898,12.8100000
AHLAX,2008-05-30,004149,51.200,0.022222,13.3400000
AHLAX,2007-11-30,004149,59.600,0.010540,15.3400000
AHLAX,2007-04-30,004149,52.100,0.051140,15.2100000
AHLAX,2006-08-31,004149,54.900,0.027757,14.0700000
AHLAX,2007-10-31,004149,56.100,0.006631,15.1800000
AHLAX,2008-07-31,004149,51.500,0.033924,13.4100000
AHLAX,2005-09-30,004149,48.700,0.005335,13.1900000
AHLAX,2008-08-29,004149,52.800,0.004474,13.4700000
AHLAX,2007-12-31,004149,58.100,-0.024772,14.9600000
AHLAX,2007-09-28,004149,54.200,0.034294,15.0800000
AHLAX,2006-12-29,004149,50.600,0.010167,13.9100000
AHLAX,2006-01-31,004149,56.200,0.013728,14.0300000
AHLAX,2007-01-31,004149,51.700,0.023724,14.2400000
AHLAX,2007-07-31,004149,45.700,-0.026495,14.3300000
AHLAX,2007-08-31,004149,48.000,0.017446,14.5800000
AHLAX,2005-11-30,004149,50.600,0.033077,13.4300000
AHLAX,2005-06-30,004149,46.400,0.014742,12.3900000
AHLAX,2007-02-28,004149,51.400,-0.002809,14.2000000
AHLAX,2008-03-31,004149,53.200,-0.058065,13.1400000
AHLAX,2005-12-30,004149,52.900,0.030529,13.8400000
AHLAX,2006-03-31,004149,53.100,-0.007231,13.7300000
AHLAX,2006-02-28,004149,55.300,-0.014255,13.8300000
AHLAX,2006-04-28,004149,49.500,-0.032775,13.2800000
AHLAX,2008-06-30,004149,49.700,-0.027736,12.9700000
AHLAX,2005-01-31,004149,48.300,-0.037320,11.3500000
AHLAX,2005-02-28,004149,46.800,0.012335,11.4900000
AHLAX,2005-03-31,004149,43.700,-0.003481,11.4500000
AHLAX,2004-12-31,004149,52.200,0.059299,11.7900000
